Sourcerecord id 	ISSN	E-ISSN	CSA Source Title (publications from CSA databases only available for entitled users)	CSA databases to which CSA-unique journals belong (see second tab for explanation of abbreviations)	Added since last version	Source Type	Active or Inactive	Coverage	"Open Acces status, i.e., registered in DOAJ (www.doaj.org)"	Title history indication	Related title 1	Related title 2	Related title 3	Related title 4	Publisher's Name 	Country 	Region	Classification Top Level	Classification (Primary) Level 1	Classification 2	Classification 3	Classification 4	Classification 5						
5700157357	12396982		"Annales Academiae Scientiarum Fennicae/Suomalaisen Tiedeakatemian Toimituksia, Humaniora"	"CSALLB, CSASSA, CSAWPS, CSASA"		Journal	Inactive	"1990-2003, 1987-1988, 1984-1984, 1982-1982, 1979-1980, 1975-1977, 1973-1973 "	Not OA						Suomalainen Tiedeakatemia/Academia Scientiarum Fennica	Finland	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Health Professions							
9500154015	00662011		"Annales Academiae Scientiarum Fennicae/Suomalaisen Tiedeakatemian Toimituksia, Series B"	"CSASSA, CSALLB, CSAWPS, CSASA"		Journal	Inactive	"1990-2002, 1987-1988, 1984-1984, 1982-1982, 1979-1980, 1975-1977, 1973-1973 "	Not OA	Continued as	"Annales Academiae Scientiarum Fennicae/Suomalaisen Tiedeakatemian Toimituksia, Humaniora"				Suomalainen Tiedeakatemia/Academia Scientiarum Fennica	Finland	Western Europe (incl. Israel)	Social Sciences	Psychology	Social Sciences	Health Professions	Arts and Humanities							
5600155299	14085348	13189425	Annales: Anali za istrske in mediteranske studije - Annali di Studi istriani e mediterranei - Annals for Istrian and Mediterranean Studies. Series historia et sociologia	"CSALLB, CSAWPS, CSASA"		Journal	Active	1997-2005 	Not OA						Zgodovinsko Drustvo za Juno Primorsko	Slovenia	Eastern Europe (incl. Russia and CIS)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5800207632	11253762		Annali di Ca' Foscari	CSALLB		Journal	Active	"2003-2004, 1996-2001 "	Not OA						Editoriale Programma	Italy	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Computer Science								
5800215649	03926540		Annali. Instituto Universitario Orientale. Sezione Germanica	CSALLB		Journal	Inactive	1995-1997 	Not OA						Istituto Universitario Orientale	Italy	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities									
5800217499	05647630		"Annual Bulletin, Research Institute of Logopedics and Phoniatrics"	CSALLB		Journal	Inactive	"1975-1996, 1972-1973 "	Not OA						"Tokyo Research Institute Of Logopedics And Phoniatrics, Faculty Of Medicine, University Of Tokyo"	Japan	Asia Pacific (without Russia/CIS and Middle East)	Social Sciences	Psychology	Agricultural and Biological Sciences	Arts and Humanities	Neuroscience	Social Sciences						
5800209435	02719800		Annual of Armenian Linguistics	CSALLB		Journal	Inactive	"2001, 1994-1999, 1989-1992, 1986-1987 "	Not OA						Cleveland State University	United States	North America	Social Sciences	Psychology	Arts and Humanities	Computer Science								
5900152744	13225901		Another Magazine	CSADAA		Journal	Active	2005-ongoing 	Not OA						Waddell Ltd.	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
19900188060	17552923 	17552931 	Anthropological Journal of European Cultures	CSASA	Added	Journal	Active	2009-ongoing 	Not OA						Berghahn Journals	United States	North America	Social Sciences	Social Sciences	Psychology									
5600153125	09600604		Anthropological Journal on European Cultures	"CSAWPS, CSASA"		Journal	Active	"1992-2005, 1990 "	Not OA						Anthropological Journal on European Cultures	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Environmental Science	Social Sciences								
